Title,Title_URL,Image,Description
RECREATION FACILITIES,https://www.minnetonkamn.gov/our-city/recreation-facilities-and-amenities,https://www.minnetonkamn.gov/home/showpublishedimage/746/638230240053270000,Indoor and outdoor recreation facilities for all interests
PROGRAM REGISTRATION,https://www.minnetonkamn.gov/our-city/recreation/register-for-a-program,https://www.minnetonkamn.gov/home/showpublishedimage/1371/637083144147630000,"How to register, inclusion services, financial assistance"
AQUATICS,https://www.minnetonkamn.gov/our-city/recreation/aquatics,https://www.minnetonkamn.gov/home/showpublishedimage/3383/638170613839570000,"Swimming lessons, assessments, private and semi-private lessons"
ADULT SPORTS,https://www.minnetonkamn.gov/our-city/recreation/adult-sports,https://www.minnetonkamn.gov/home/showpublishedimage/1367/638366769267030000,"From badminton to volleyball, year-round sport leagues"
YOUTH PROGRAMS,https://www.minnetonkamn.gov/our-city/recreation/youth-sports,https://www.minnetonkamn.gov/home/showpublishedimage/1379/637083152034070000,"Signature programs, classes and camps for preschool through teens"
SENIOR SERVICES,https://www.minnetonkamn.gov/our-city/senior-services,https://www.minnetonkamn.gov/home/showpublishedimage/972/637056171928230000,"Interest groups, fitness, art and history classes, special events, presentations, parties"
TENNIS,https://www.minnetonkamn.gov/our-city/williston-fitness-center/tennis,https://www.minnetonkamn.gov/home/showpublishedimage/916/638230309229430000,"Tennis lessons, drills, leagues and court rentals"
SPECIAL EVENTS,https://www.minnetonkamn.gov/our-city/city-events,https://www.minnetonkamn.gov/home/showpublishedimage/3463/638181882988570000,"Minnetonka Farmers Market, Summer Fest and other community events"
PARKS & TRAILS,https://www.minnetonkamn.gov/our-city/parks-trails,https://www.minnetonkamn.gov/home/showpublishedimage/1991/637435480991630000,The city maintains five community parks and 44 neighborhood parks
JOIN OUR TEAM,https://www.minnetonkamn.gov/government/employment,https://www.minnetonkamn.gov/home/showpublishedimage/3257/638134437213200000,Flexible part-time and seasonal hiring opportunities year-round
